,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,VelvetOptimiser,0,395655
1,Bacillus_subtilis,VelvetOptimiser,1,395655
2,Bacillus_subtilis,VelvetOptimiser,2,395655
3,Bacillus_subtilis,VelvetOptimiser,3,395655
4,Bacillus_subtilis,VelvetOptimiser,4,395655
5,Bacillus_subtilis,VelvetOptimiser,5,395655
6,Bacillus_subtilis,VelvetOptimiser,6,395655
7,Bacillus_subtilis,VelvetOptimiser,7,395655
8,Bacillus_subtilis,VelvetOptimiser,8,395655
9,Bacillus_subtilis,VelvetOptimiser,9,372318
10,Bacillus_subtilis,VelvetOptimiser,10,372318
11,Bacillus_subtilis,VelvetOptimiser,11,372318
12,Bacillus_subtilis,VelvetOptimiser,12,372318
13,Bacillus_subtilis,VelvetOptimiser,13,372318
14,Bacillus_subtilis,VelvetOptimiser,14,372318
15,Bacillus_subtilis,VelvetOptimiser,15,372318
16,Bacillus_subtilis,VelvetOptimiser,16,314823
17,Bacillus_subtilis,VelvetOptimiser,17,314823
18,Bacillus_subtilis,VelvetOptimiser,18,314823
19,Bacillus_subtilis,VelvetOptimiser,19,314823
20,Bacillus_subtilis,VelvetOptimiser,20,314823
21,Bacillus_subtilis,VelvetOptimiser,21,314823
22,Bacillus_subtilis,VelvetOptimiser,22,314823
23,Bacillus_subtilis,VelvetOptimiser,23,309107
24,Bacillus_subtilis,VelvetOptimiser,24,309107
25,Bacillus_subtilis,VelvetOptimiser,25,309107
26,Bacillus_subtilis,VelvetOptimiser,26,309107
27,Bacillus_subtilis,VelvetOptimiser,27,309107
28,Bacillus_subtilis,VelvetOptimiser,28,309107
29,Bacillus_subtilis,VelvetOptimiser,29,309107
30,Bacillus_subtilis,VelvetOptimiser,30,309107
31,Bacillus_subtilis,VelvetOptimiser,31,309107
32,Bacillus_subtilis,VelvetOptimiser,32,309107
33,Bacillus_subtilis,VelvetOptimiser,33,309107
34,Bacillus_subtilis,VelvetOptimiser,34,309107
35,Bacillus_subtilis,VelvetOptimiser,35,309107
36,Bacillus_subtilis,VelvetOptimiser,36,294404
37,Bacillus_subtilis,VelvetOptimiser,37,294404
38,Bacillus_subtilis,VelvetOptimiser,38,294404
39,Bacillus_subtilis,VelvetOptimiser,39,294404
40,Bacillus_subtilis,VelvetOptimiser,40,294404
41,Bacillus_subtilis,VelvetOptimiser,41,294404
42,Bacillus_subtilis,VelvetOptimiser,42,294404
43,Bacillus_subtilis,VelvetOptimiser,43,294404
44,Bacillus_subtilis,VelvetOptimiser,44,294404
45,Bacillus_subtilis,VelvetOptimiser,45,294404
46,Bacillus_subtilis,VelvetOptimiser,46,294404
47,Bacillus_subtilis,VelvetOptimiser,47,294404
48,Bacillus_subtilis,VelvetOptimiser,48,269136
49,Bacillus_subtilis,VelvetOptimiser,49,269136
50,Bacillus_subtilis,VelvetOptimiser,50,269136
51,Bacillus_subtilis,VelvetOptimiser,51,269136
52,Bacillus_subtilis,VelvetOptimiser,52,269136
53,Bacillus_subtilis,VelvetOptimiser,53,269136
54,Bacillus_subtilis,VelvetOptimiser,54,269136
55,Bacillus_subtilis,VelvetOptimiser,55,269136
56,Bacillus_subtilis,VelvetOptimiser,56,269136
57,Bacillus_subtilis,VelvetOptimiser,57,269136
58,Bacillus_subtilis,VelvetOptimiser,58,269136
59,Bacillus_subtilis,VelvetOptimiser,59,263211
60,Bacillus_subtilis,VelvetOptimiser,60,263211
61,Bacillus_subtilis,VelvetOptimiser,61,263211
62,Bacillus_subtilis,VelvetOptimiser,62,263211
63,Bacillus_subtilis,VelvetOptimiser,63,263211
64,Bacillus_subtilis,VelvetOptimiser,64,256786
65,Bacillus_subtilis,VelvetOptimiser,65,256786
66,Bacillus_subtilis,VelvetOptimiser,66,256786
67,Bacillus_subtilis,VelvetOptimiser,67,256786
68,Bacillus_subtilis,VelvetOptimiser,68,256786
69,Bacillus_subtilis,VelvetOptimiser,69,256786
70,Bacillus_subtilis,VelvetOptimiser,70,251932
71,Bacillus_subtilis,VelvetOptimiser,71,251932
72,Bacillus_subtilis,VelvetOptimiser,72,251932
73,Bacillus_subtilis,VelvetOptimiser,73,251932
74,Bacillus_subtilis,VelvetOptimiser,74,251932
75,Bacillus_subtilis,VelvetOptimiser,75,170007
76,Bacillus_subtilis,VelvetOptimiser,76,170007
77,Bacillus_subtilis,VelvetOptimiser,77,170007
78,Bacillus_subtilis,VelvetOptimiser,78,155896
79,Bacillus_subtilis,VelvetOptimiser,79,155896
80,Bacillus_subtilis,VelvetOptimiser,80,155896
81,Bacillus_subtilis,VelvetOptimiser,81,155896
82,Bacillus_subtilis,VelvetOptimiser,82,137092
83,Bacillus_subtilis,VelvetOptimiser,83,137092
84,Bacillus_subtilis,VelvetOptimiser,84,130724
85,Bacillus_subtilis,VelvetOptimiser,85,130724
86,Bacillus_subtilis,VelvetOptimiser,86,130724
87,Bacillus_subtilis,VelvetOptimiser,87,103871
88,Bacillus_subtilis,VelvetOptimiser,88,103871
89,Bacillus_subtilis,VelvetOptimiser,89,83423
90,Bacillus_subtilis,VelvetOptimiser,90,83423
91,Bacillus_subtilis,VelvetOptimiser,91,80991
92,Bacillus_subtilis,VelvetOptimiser,92,80991
93,Bacillus_subtilis,VelvetOptimiser,93,59603
94,Bacillus_subtilis,VelvetOptimiser,94,55140
95,Bacillus_subtilis,VelvetOptimiser,95,38438
96,Bacillus_subtilis,VelvetOptimiser,96,38218
97,Bacillus_subtilis,VelvetOptimiser,97,33749
98,Bacillus_subtilis,VelvetOptimiser,98,29520
99,Bacillus_subtilis,VelvetOptimiser,99,18090
100,Bacillus_subtilis,VelvetOptimiser,100,2213
101,Enterococcus_faecalis,VelvetOptimiser,0,4071
102,Enterococcus_faecalis,VelvetOptimiser,1,4071
103,Enterococcus_faecalis,VelvetOptimiser,2,4071
104,Enterococcus_faecalis,VelvetOptimiser,3,4071
105,Enterococcus_faecalis,VelvetOptimiser,4,4071
106,Enterococcus_faecalis,VelvetOptimiser,5,4071
107,Enterococcus_faecalis,VelvetOptimiser,6,4071
108,Enterococcus_faecalis,VelvetOptimiser,7,4071
109,Enterococcus_faecalis,VelvetOptimiser,8,4071
110,Enterococcus_faecalis,VelvetOptimiser,9,4071
111,Enterococcus_faecalis,VelvetOptimiser,10,4071
112,Enterococcus_faecalis,VelvetOptimiser,11,4071
113,Enterococcus_faecalis,VelvetOptimiser,12,4071
114,Enterococcus_faecalis,VelvetOptimiser,13,4071
115,Enterococcus_faecalis,VelvetOptimiser,14,4071
116,Enterococcus_faecalis,VelvetOptimiser,15,4071
117,Enterococcus_faecalis,VelvetOptimiser,16,4071
118,Enterococcus_faecalis,VelvetOptimiser,17,4071
119,Enterococcus_faecalis,VelvetOptimiser,18,4071
120,Enterococcus_faecalis,VelvetOptimiser,19,4071
121,Enterococcus_faecalis,VelvetOptimiser,20,4071
122,Enterococcus_faecalis,VelvetOptimiser,21,4071
123,Enterococcus_faecalis,VelvetOptimiser,22,4071
124,Enterococcus_faecalis,VelvetOptimiser,23,4071
125,Enterococcus_faecalis,VelvetOptimiser,24,4071
126,Enterococcus_faecalis,VelvetOptimiser,25,4071
127,Enterococcus_faecalis,VelvetOptimiser,26,4071
128,Enterococcus_faecalis,VelvetOptimiser,27,4071
129,Enterococcus_faecalis,VelvetOptimiser,28,4071
130,Enterococcus_faecalis,VelvetOptimiser,29,4071
131,Enterococcus_faecalis,VelvetOptimiser,30,4071
132,Enterococcus_faecalis,VelvetOptimiser,31,4071
133,Enterococcus_faecalis,VelvetOptimiser,32,4071
134,Enterococcus_faecalis,VelvetOptimiser,33,4071
135,Enterococcus_faecalis,VelvetOptimiser,34,4071
136,Enterococcus_faecalis,VelvetOptimiser,35,4071
137,Enterococcus_faecalis,VelvetOptimiser,36,4071
138,Enterococcus_faecalis,VelvetOptimiser,37,4071
139,Enterococcus_faecalis,VelvetOptimiser,38,4071
140,Enterococcus_faecalis,VelvetOptimiser,39,4071
141,Enterococcus_faecalis,VelvetOptimiser,40,4071
142,Enterococcus_faecalis,VelvetOptimiser,41,4071
143,Enterococcus_faecalis,VelvetOptimiser,42,4071
144,Enterococcus_faecalis,VelvetOptimiser,43,4071
145,Enterococcus_faecalis,VelvetOptimiser,44,4071
146,Enterococcus_faecalis,VelvetOptimiser,45,4071
147,Enterococcus_faecalis,VelvetOptimiser,46,4071
148,Enterococcus_faecalis,VelvetOptimiser,47,4071
149,Enterococcus_faecalis,VelvetOptimiser,48,4071
150,Enterococcus_faecalis,VelvetOptimiser,49,4071
151,Enterococcus_faecalis,VelvetOptimiser,50,4071
152,Enterococcus_faecalis,VelvetOptimiser,51,4071
153,Enterococcus_faecalis,VelvetOptimiser,52,4071
154,Enterococcus_faecalis,VelvetOptimiser,53,4071
155,Enterococcus_faecalis,VelvetOptimiser,54,4071
156,Enterococcus_faecalis,VelvetOptimiser,55,4071
157,Enterococcus_faecalis,VelvetOptimiser,56,4071
158,Enterococcus_faecalis,VelvetOptimiser,57,4071
159,Enterococcus_faecalis,VelvetOptimiser,58,4071
160,Enterococcus_faecalis,VelvetOptimiser,59,4071
161,Enterococcus_faecalis,VelvetOptimiser,60,4071
162,Enterococcus_faecalis,VelvetOptimiser,61,4071
163,Enterococcus_faecalis,VelvetOptimiser,62,4071
164,Enterococcus_faecalis,VelvetOptimiser,63,4071
165,Enterococcus_faecalis,VelvetOptimiser,64,4071
166,Enterococcus_faecalis,VelvetOptimiser,65,4071
167,Enterococcus_faecalis,VelvetOptimiser,66,4071
168,Enterococcus_faecalis,VelvetOptimiser,67,4071
169,Enterococcus_faecalis,VelvetOptimiser,68,4071
170,Enterococcus_faecalis,VelvetOptimiser,69,4071
171,Enterococcus_faecalis,VelvetOptimiser,70,4071
172,Enterococcus_faecalis,VelvetOptimiser,71,4071
173,Enterococcus_faecalis,VelvetOptimiser,72,4071
174,Enterococcus_faecalis,VelvetOptimiser,73,4071
175,Enterococcus_faecalis,VelvetOptimiser,74,4071
176,Enterococcus_faecalis,VelvetOptimiser,75,4071
177,Enterococcus_faecalis,VelvetOptimiser,76,4071
178,Enterococcus_faecalis,VelvetOptimiser,77,4071
179,Enterococcus_faecalis,VelvetOptimiser,78,4071
180,Enterococcus_faecalis,VelvetOptimiser,79,4071
181,Enterococcus_faecalis,VelvetOptimiser,80,4071
182,Enterococcus_faecalis,VelvetOptimiser,81,4071
183,Enterococcus_faecalis,VelvetOptimiser,82,4071
184,Enterococcus_faecalis,VelvetOptimiser,83,4071
185,Enterococcus_faecalis,VelvetOptimiser,84,4071
186,Enterococcus_faecalis,VelvetOptimiser,85,4071
187,Enterococcus_faecalis,VelvetOptimiser,86,4071
188,Enterococcus_faecalis,VelvetOptimiser,87,4071
189,Enterococcus_faecalis,VelvetOptimiser,88,4071
190,Enterococcus_faecalis,VelvetOptimiser,89,4071
191,Enterococcus_faecalis,VelvetOptimiser,90,4071
192,Enterococcus_faecalis,VelvetOptimiser,91,4071
193,Enterococcus_faecalis,VelvetOptimiser,92,4071
194,Enterococcus_faecalis,VelvetOptimiser,93,4071
195,Enterococcus_faecalis,VelvetOptimiser,94,4071
196,Enterococcus_faecalis,VelvetOptimiser,95,4071
197,Enterococcus_faecalis,VelvetOptimiser,96,4071
198,Enterococcus_faecalis,VelvetOptimiser,97,4071
199,Enterococcus_faecalis,VelvetOptimiser,98,4071
200,Enterococcus_faecalis,VelvetOptimiser,99,4071
201,Enterococcus_faecalis,VelvetOptimiser,100,4071
202,Escherichia_coli_plasmid,VelvetOptimiser,0,0
203,Escherichia_coli_plasmid,VelvetOptimiser,1,0
204,Escherichia_coli_plasmid,VelvetOptimiser,2,0
205,Escherichia_coli_plasmid,VelvetOptimiser,3,0
206,Escherichia_coli_plasmid,VelvetOptimiser,4,0
207,Escherichia_coli_plasmid,VelvetOptimiser,5,0
208,Escherichia_coli_plasmid,VelvetOptimiser,6,0
209,Escherichia_coli_plasmid,VelvetOptimiser,7,0
210,Escherichia_coli_plasmid,VelvetOptimiser,8,0
211,Escherichia_coli_plasmid,VelvetOptimiser,9,0
212,Escherichia_coli_plasmid,VelvetOptimiser,10,0
213,Escherichia_coli_plasmid,VelvetOptimiser,11,0
214,Escherichia_coli_plasmid,VelvetOptimiser,12,0
215,Escherichia_coli_plasmid,VelvetOptimiser,13,0
216,Escherichia_coli_plasmid,VelvetOptimiser,14,0
217,Escherichia_coli_plasmid,VelvetOptimiser,15,0
218,Escherichia_coli_plasmid,VelvetOptimiser,16,0
219,Escherichia_coli_plasmid,VelvetOptimiser,17,0
220,Escherichia_coli_plasmid,VelvetOptimiser,18,0
221,Escherichia_coli_plasmid,VelvetOptimiser,19,0
222,Escherichia_coli_plasmid,VelvetOptimiser,20,0
223,Escherichia_coli_plasmid,VelvetOptimiser,21,0
224,Escherichia_coli_plasmid,VelvetOptimiser,22,0
225,Escherichia_coli_plasmid,VelvetOptimiser,23,0
226,Escherichia_coli_plasmid,VelvetOptimiser,24,0
227,Escherichia_coli_plasmid,VelvetOptimiser,25,0
228,Escherichia_coli_plasmid,VelvetOptimiser,26,0
229,Escherichia_coli_plasmid,VelvetOptimiser,27,0
230,Escherichia_coli_plasmid,VelvetOptimiser,28,0
231,Escherichia_coli_plasmid,VelvetOptimiser,29,0
232,Escherichia_coli_plasmid,VelvetOptimiser,30,0
233,Escherichia_coli_plasmid,VelvetOptimiser,31,0
234,Escherichia_coli_plasmid,VelvetOptimiser,32,0
235,Escherichia_coli_plasmid,VelvetOptimiser,33,0
236,Escherichia_coli_plasmid,VelvetOptimiser,34,0
237,Escherichia_coli_plasmid,VelvetOptimiser,35,0
238,Escherichia_coli_plasmid,VelvetOptimiser,36,0
239,Escherichia_coli_plasmid,VelvetOptimiser,37,0
240,Escherichia_coli_plasmid,VelvetOptimiser,38,0
241,Escherichia_coli_plasmid,VelvetOptimiser,39,0
242,Escherichia_coli_plasmid,VelvetOptimiser,40,0
243,Escherichia_coli_plasmid,VelvetOptimiser,41,0
244,Escherichia_coli_plasmid,VelvetOptimiser,42,0
245,Escherichia_coli_plasmid,VelvetOptimiser,43,0
246,Escherichia_coli_plasmid,VelvetOptimiser,44,0
247,Escherichia_coli_plasmid,VelvetOptimiser,45,0
248,Escherichia_coli_plasmid,VelvetOptimiser,46,0
249,Escherichia_coli_plasmid,VelvetOptimiser,47,0
250,Escherichia_coli_plasmid,VelvetOptimiser,48,0
251,Escherichia_coli_plasmid,VelvetOptimiser,49,0
252,Escherichia_coli_plasmid,VelvetOptimiser,50,0
253,Escherichia_coli_plasmid,VelvetOptimiser,51,0
254,Escherichia_coli_plasmid,VelvetOptimiser,52,0
255,Escherichia_coli_plasmid,VelvetOptimiser,53,0
256,Escherichia_coli_plasmid,VelvetOptimiser,54,0
257,Escherichia_coli_plasmid,VelvetOptimiser,55,0
258,Escherichia_coli_plasmid,VelvetOptimiser,56,0
259,Escherichia_coli_plasmid,VelvetOptimiser,57,0
260,Escherichia_coli_plasmid,VelvetOptimiser,58,0
261,Escherichia_coli_plasmid,VelvetOptimiser,59,0
262,Escherichia_coli_plasmid,VelvetOptimiser,60,0
263,Escherichia_coli_plasmid,VelvetOptimiser,61,0
264,Escherichia_coli_plasmid,VelvetOptimiser,62,0
265,Escherichia_coli_plasmid,VelvetOptimiser,63,0
266,Escherichia_coli_plasmid,VelvetOptimiser,64,0
267,Escherichia_coli_plasmid,VelvetOptimiser,65,0
268,Escherichia_coli_plasmid,VelvetOptimiser,66,0
269,Escherichia_coli_plasmid,VelvetOptimiser,67,0
270,Escherichia_coli_plasmid,VelvetOptimiser,68,0
271,Escherichia_coli_plasmid,VelvetOptimiser,69,0
272,Escherichia_coli_plasmid,VelvetOptimiser,70,0
273,Escherichia_coli_plasmid,VelvetOptimiser,71,0
274,Escherichia_coli_plasmid,VelvetOptimiser,72,0
275,Escherichia_coli_plasmid,VelvetOptimiser,73,0
276,Escherichia_coli_plasmid,VelvetOptimiser,74,0
277,Escherichia_coli_plasmid,VelvetOptimiser,75,0
278,Escherichia_coli_plasmid,VelvetOptimiser,76,0
279,Escherichia_coli_plasmid,VelvetOptimiser,77,0
280,Escherichia_coli_plasmid,VelvetOptimiser,78,0
281,Escherichia_coli_plasmid,VelvetOptimiser,79,0
282,Escherichia_coli_plasmid,VelvetOptimiser,80,0
283,Escherichia_coli_plasmid,VelvetOptimiser,81,0
284,Escherichia_coli_plasmid,VelvetOptimiser,82,0
285,Escherichia_coli_plasmid,VelvetOptimiser,83,0
286,Escherichia_coli_plasmid,VelvetOptimiser,84,0
287,Escherichia_coli_plasmid,VelvetOptimiser,85,0
288,Escherichia_coli_plasmid,VelvetOptimiser,86,0
289,Escherichia_coli_plasmid,VelvetOptimiser,87,0
290,Escherichia_coli_plasmid,VelvetOptimiser,88,0
291,Escherichia_coli_plasmid,VelvetOptimiser,89,0
292,Escherichia_coli_plasmid,VelvetOptimiser,90,0
293,Escherichia_coli_plasmid,VelvetOptimiser,91,0
294,Escherichia_coli_plasmid,VelvetOptimiser,92,0
295,Escherichia_coli_plasmid,VelvetOptimiser,93,0
296,Escherichia_coli_plasmid,VelvetOptimiser,94,0
297,Escherichia_coli_plasmid,VelvetOptimiser,95,0
298,Escherichia_coli_plasmid,VelvetOptimiser,96,0
299,Escherichia_coli_plasmid,VelvetOptimiser,97,0
300,Escherichia_coli_plasmid,VelvetOptimiser,98,0
301,Escherichia_coli_plasmid,VelvetOptimiser,99,0
302,Escherichia_coli_plasmid,VelvetOptimiser,100,0
303,Escherichia_coli,VelvetOptimiser,0,3381
304,Escherichia_coli,VelvetOptimiser,1,3381
305,Escherichia_coli,VelvetOptimiser,2,3381
306,Escherichia_coli,VelvetOptimiser,3,3381
307,Escherichia_coli,VelvetOptimiser,4,3381
308,Escherichia_coli,VelvetOptimiser,5,3381
309,Escherichia_coli,VelvetOptimiser,6,3381
310,Escherichia_coli,VelvetOptimiser,7,3381
311,Escherichia_coli,VelvetOptimiser,8,3347
312,Escherichia_coli,VelvetOptimiser,9,3347
313,Escherichia_coli,VelvetOptimiser,10,3347
314,Escherichia_coli,VelvetOptimiser,11,3347
315,Escherichia_coli,VelvetOptimiser,12,3347
316,Escherichia_coli,VelvetOptimiser,13,3347
317,Escherichia_coli,VelvetOptimiser,14,3347
318,Escherichia_coli,VelvetOptimiser,15,3347
319,Escherichia_coli,VelvetOptimiser,16,3347
320,Escherichia_coli,VelvetOptimiser,17,3347
321,Escherichia_coli,VelvetOptimiser,18,3347
322,Escherichia_coli,VelvetOptimiser,19,3347
323,Escherichia_coli,VelvetOptimiser,20,3347
324,Escherichia_coli,VelvetOptimiser,21,3347
325,Escherichia_coli,VelvetOptimiser,22,3347
326,Escherichia_coli,VelvetOptimiser,23,2025
327,Escherichia_coli,VelvetOptimiser,24,2025
328,Escherichia_coli,VelvetOptimiser,25,2025
329,Escherichia_coli,VelvetOptimiser,26,2025
330,Escherichia_coli,VelvetOptimiser,27,2025
331,Escherichia_coli,VelvetOptimiser,28,2025
332,Escherichia_coli,VelvetOptimiser,29,2025
333,Escherichia_coli,VelvetOptimiser,30,2025
334,Escherichia_coli,VelvetOptimiser,31,2025
335,Escherichia_coli,VelvetOptimiser,32,1590
336,Escherichia_coli,VelvetOptimiser,33,1590
337,Escherichia_coli,VelvetOptimiser,34,1590
338,Escherichia_coli,VelvetOptimiser,35,1482
339,Escherichia_coli,VelvetOptimiser,36,1482
340,Escherichia_coli,VelvetOptimiser,37,1482
341,Escherichia_coli,VelvetOptimiser,38,1482
342,Escherichia_coli,VelvetOptimiser,39,1421
343,Escherichia_coli,VelvetOptimiser,40,1421
344,Escherichia_coli,VelvetOptimiser,41,1421
345,Escherichia_coli,VelvetOptimiser,42,1420
346,Escherichia_coli,VelvetOptimiser,43,1420
347,Escherichia_coli,VelvetOptimiser,44,1420
348,Escherichia_coli,VelvetOptimiser,45,1408
349,Escherichia_coli,VelvetOptimiser,46,1408
350,Escherichia_coli,VelvetOptimiser,47,1408
351,Escherichia_coli,VelvetOptimiser,48,1390
352,Escherichia_coli,VelvetOptimiser,49,1390
353,Escherichia_coli,VelvetOptimiser,50,1390
354,Escherichia_coli,VelvetOptimiser,51,1364
355,Escherichia_coli,VelvetOptimiser,52,1364
356,Escherichia_coli,VelvetOptimiser,53,1364
357,Escherichia_coli,VelvetOptimiser,54,1322
358,Escherichia_coli,VelvetOptimiser,55,1322
359,Escherichia_coli,VelvetOptimiser,56,1322
360,Escherichia_coli,VelvetOptimiser,57,1287
361,Escherichia_coli,VelvetOptimiser,58,1287
362,Escherichia_coli,VelvetOptimiser,59,1287
363,Escherichia_coli,VelvetOptimiser,60,1260
364,Escherichia_coli,VelvetOptimiser,61,1260
365,Escherichia_coli,VelvetOptimiser,62,1260
366,Escherichia_coli,VelvetOptimiser,63,1256
367,Escherichia_coli,VelvetOptimiser,64,1256
368,Escherichia_coli,VelvetOptimiser,65,1256
369,Escherichia_coli,VelvetOptimiser,66,1255
370,Escherichia_coli,VelvetOptimiser,67,1255
371,Escherichia_coli,VelvetOptimiser,68,1220
372,Escherichia_coli,VelvetOptimiser,69,1220
373,Escherichia_coli,VelvetOptimiser,70,1220
374,Escherichia_coli,VelvetOptimiser,71,1200
375,Escherichia_coli,VelvetOptimiser,72,1200
376,Escherichia_coli,VelvetOptimiser,73,1200
377,Escherichia_coli,VelvetOptimiser,74,1188
378,Escherichia_coli,VelvetOptimiser,75,1188
379,Escherichia_coli,VelvetOptimiser,76,1177
380,Escherichia_coli,VelvetOptimiser,77,1177
381,Escherichia_coli,VelvetOptimiser,78,1177
382,Escherichia_coli,VelvetOptimiser,79,1149
383,Escherichia_coli,VelvetOptimiser,80,1149
384,Escherichia_coli,VelvetOptimiser,81,1149
385,Escherichia_coli,VelvetOptimiser,82,1144
386,Escherichia_coli,VelvetOptimiser,83,1144
387,Escherichia_coli,VelvetOptimiser,84,1102
388,Escherichia_coli,VelvetOptimiser,85,1102
389,Escherichia_coli,VelvetOptimiser,86,1102
390,Escherichia_coli,VelvetOptimiser,87,1090
391,Escherichia_coli,VelvetOptimiser,88,1090
392,Escherichia_coli,VelvetOptimiser,89,1039
393,Escherichia_coli,VelvetOptimiser,90,1039
394,Escherichia_coli,VelvetOptimiser,91,1035
395,Escherichia_coli,VelvetOptimiser,92,1035
396,Escherichia_coli,VelvetOptimiser,93,1035
397,Escherichia_coli,VelvetOptimiser,94,1023
398,Escherichia_coli,VelvetOptimiser,95,1023
399,Escherichia_coli,VelvetOptimiser,96,1023
400,Escherichia_coli,VelvetOptimiser,97,1023
401,Escherichia_coli,VelvetOptimiser,98,1022
402,Escherichia_coli,VelvetOptimiser,99,1022
403,Escherichia_coli,VelvetOptimiser,100,1022
404,Lactobacillus_fermentum,VelvetOptimiser,0,2392
405,Lactobacillus_fermentum,VelvetOptimiser,1,2392
406,Lactobacillus_fermentum,VelvetOptimiser,2,2392
407,Lactobacillus_fermentum,VelvetOptimiser,3,2392
408,Lactobacillus_fermentum,VelvetOptimiser,4,2392
409,Lactobacillus_fermentum,VelvetOptimiser,5,2392
410,Lactobacillus_fermentum,VelvetOptimiser,6,2392
411,Lactobacillus_fermentum,VelvetOptimiser,7,2392
412,Lactobacillus_fermentum,VelvetOptimiser,8,2392
413,Lactobacillus_fermentum,VelvetOptimiser,9,2392
414,Lactobacillus_fermentum,VelvetOptimiser,10,2392
415,Lactobacillus_fermentum,VelvetOptimiser,11,2392
416,Lactobacillus_fermentum,VelvetOptimiser,12,2392
417,Lactobacillus_fermentum,VelvetOptimiser,13,2392
418,Lactobacillus_fermentum,VelvetOptimiser,14,2392
419,Lactobacillus_fermentum,VelvetOptimiser,15,2392
420,Lactobacillus_fermentum,VelvetOptimiser,16,2392
421,Lactobacillus_fermentum,VelvetOptimiser,17,2392
422,Lactobacillus_fermentum,VelvetOptimiser,18,2392
423,Lactobacillus_fermentum,VelvetOptimiser,19,2392
424,Lactobacillus_fermentum,VelvetOptimiser,20,2392
425,Lactobacillus_fermentum,VelvetOptimiser,21,2392
426,Lactobacillus_fermentum,VelvetOptimiser,22,2392
427,Lactobacillus_fermentum,VelvetOptimiser,23,2392
428,Lactobacillus_fermentum,VelvetOptimiser,24,2392
429,Lactobacillus_fermentum,VelvetOptimiser,25,2392
430,Lactobacillus_fermentum,VelvetOptimiser,26,2392
431,Lactobacillus_fermentum,VelvetOptimiser,27,2392
432,Lactobacillus_fermentum,VelvetOptimiser,28,2392
433,Lactobacillus_fermentum,VelvetOptimiser,29,2392
434,Lactobacillus_fermentum,VelvetOptimiser,30,2392
435,Lactobacillus_fermentum,VelvetOptimiser,31,2392
436,Lactobacillus_fermentum,VelvetOptimiser,32,2392
437,Lactobacillus_fermentum,VelvetOptimiser,33,2392
438,Lactobacillus_fermentum,VelvetOptimiser,34,2392
439,Lactobacillus_fermentum,VelvetOptimiser,35,2392
440,Lactobacillus_fermentum,VelvetOptimiser,36,2392
441,Lactobacillus_fermentum,VelvetOptimiser,37,2392
442,Lactobacillus_fermentum,VelvetOptimiser,38,2392
443,Lactobacillus_fermentum,VelvetOptimiser,39,2392
444,Lactobacillus_fermentum,VelvetOptimiser,40,2392
445,Lactobacillus_fermentum,VelvetOptimiser,41,2392
446,Lactobacillus_fermentum,VelvetOptimiser,42,2392
447,Lactobacillus_fermentum,VelvetOptimiser,43,2392
448,Lactobacillus_fermentum,VelvetOptimiser,44,1795
449,Lactobacillus_fermentum,VelvetOptimiser,45,1795
450,Lactobacillus_fermentum,VelvetOptimiser,46,1795
451,Lactobacillus_fermentum,VelvetOptimiser,47,1795
452,Lactobacillus_fermentum,VelvetOptimiser,48,1795
453,Lactobacillus_fermentum,VelvetOptimiser,49,1795
454,Lactobacillus_fermentum,VelvetOptimiser,50,1795
455,Lactobacillus_fermentum,VelvetOptimiser,51,1795
456,Lactobacillus_fermentum,VelvetOptimiser,52,1795
457,Lactobacillus_fermentum,VelvetOptimiser,53,1795
458,Lactobacillus_fermentum,VelvetOptimiser,54,1795
459,Lactobacillus_fermentum,VelvetOptimiser,55,1795
460,Lactobacillus_fermentum,VelvetOptimiser,56,1795
461,Lactobacillus_fermentum,VelvetOptimiser,57,1795
462,Lactobacillus_fermentum,VelvetOptimiser,58,1795
463,Lactobacillus_fermentum,VelvetOptimiser,59,1795
464,Lactobacillus_fermentum,VelvetOptimiser,60,1795
465,Lactobacillus_fermentum,VelvetOptimiser,61,1795
466,Lactobacillus_fermentum,VelvetOptimiser,62,1795
467,Lactobacillus_fermentum,VelvetOptimiser,63,1795
468,Lactobacillus_fermentum,VelvetOptimiser,64,1795
469,Lactobacillus_fermentum,VelvetOptimiser,65,1795
470,Lactobacillus_fermentum,VelvetOptimiser,66,1795
471,Lactobacillus_fermentum,VelvetOptimiser,67,1795
472,Lactobacillus_fermentum,VelvetOptimiser,68,1795
473,Lactobacillus_fermentum,VelvetOptimiser,69,1795
474,Lactobacillus_fermentum,VelvetOptimiser,70,1795
475,Lactobacillus_fermentum,VelvetOptimiser,71,1795
476,Lactobacillus_fermentum,VelvetOptimiser,72,1795
477,Lactobacillus_fermentum,VelvetOptimiser,73,1795
478,Lactobacillus_fermentum,VelvetOptimiser,74,1795
479,Lactobacillus_fermentum,VelvetOptimiser,75,1795
480,Lactobacillus_fermentum,VelvetOptimiser,76,1374
481,Lactobacillus_fermentum,VelvetOptimiser,77,1374
482,Lactobacillus_fermentum,VelvetOptimiser,78,1374
483,Lactobacillus_fermentum,VelvetOptimiser,79,1374
484,Lactobacillus_fermentum,VelvetOptimiser,80,1374
485,Lactobacillus_fermentum,VelvetOptimiser,81,1374
486,Lactobacillus_fermentum,VelvetOptimiser,82,1374
487,Lactobacillus_fermentum,VelvetOptimiser,83,1374
488,Lactobacillus_fermentum,VelvetOptimiser,84,1374
